text,place,uri,collector,area,lat,lon
Το δούκις τ διαόλ' κι του πήρι,Ήπειρος>Ζαγόρι,http://hdl.handle.net/20.500.11853/186397,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
Και της βρώμης κόσκινο και του σκυλιού καρούτι,Ήπειρος,http://hdl.handle.net/20.500.11853/141906,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
Να ματσιλάς τα λόια σ' καλά κ' ύστιρα να τα βγάνς απού του στόμα σ',Ήπειρος>Ζαγόρι,http://hdl.handle.net/20.500.11853/209434,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
Κουτσαίν΄ γερός,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/271752,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
Άλλα καρκαλιέται η κόττα κι΄άλλα κράζει ο πετεινός,Ήπειρος,http://hdl.handle.net/20.500.11853/159290,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671
Όσου πέρν' κι νυχτών' ου Θιός να μας γλυτών',Ήπειρος,http://hdl.handle.net/20.500.11853/287773,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
Τραπέζι έτοιμο και γυναίκα ξαπλωμένη δεν καρτεριέται σαφή,Ήπειρος,http://hdl.handle.net/20.500.11853/176440,"Νεστορίδης, Κ.",Ήπειρος,37.9982534,23.7378671
Κόσμος θάμα,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/271755,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
Του ηύρε τα ριζόδοντα,Ήπειρος,http://hdl.handle.net/20.500.11853/291184,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671
Κάλλια λόγια στου χουράφ' πάρα μάγγανα σταλών',Ήπειρος,http://hdl.handle.net/20.500.11853/204641,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
Του λέου τς πιθιράς για να τ' ακούσ' η νύφ',Ήπειρος>Ζαγόρι,http://hdl.handle.net/20.500.11853/228126,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
Ο Θεός να σε φυλάη από νιού πλούσιο και παλιόν διακονιάρη,Ήπειρος,http://hdl.handle.net/20.500.11853/255936,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
