text,place,place_num,area,area_num,latlon
(Ε)πήρε βάγια,"{'Ήπειρος', 'Λακωνία'}",2,"{'Ήπειρος', 'Λακωνία'}",2,"[(37.9574332, 23.7108518), (36.76027945, 22.79046431389755)]"
"Άβολος ο νους, διπλός ο κόπος","{'Νίσυρος', 'Μικρά Ασία>Τσεσμές (Κρήνη)'}",2,"{'Νίσυρος', 'Μικρά Ασία'}",2,"[(36.58904575, 27.16918402255752), (38.1846366, 23.5122768)]"
Άβουλος νους διπλός κόπος,"{'Θήρα (Σαντορίνη)', 'Θράκη>Αίνος'}",2,"{'Θράκη', 'Θήρα (Σαντορίνη)'}",2,"[(40.8464241, 25.8759377), (36.4044251, 25.3958561)]"
"Άβουλος νους, διπλός ο κόπος","{'Αμοργός', 'Κρήτη', 'Ρόδος'}",3,"{'Αμοργός', 'Κρήτη', 'Ρόδος'}",3,"[(36.85252415, 25.89848696771565), (35.3084952, 24.46334231842296), (36.17262995, 27.919418145633188)]"
Άβουλος ο νους διπλός ο κόπος,"{'Ρόδος', 'Σάμος>Μαραθόκαμπος', 'Θράκη>Μάδυτος', 'Θράκη', 'Ήπειρος>Τσαμαντάς'}",5,"{'Θράκη', 'Ήπειρος', 'Σάμος', 'Ρόδος'}",4,"[(40.8464241, 25.8759377), (37.9574332, 23.7108518), (37.72461615, 26.81929189110984), (36.17262995, 27.919418145633188)]"
"Άβουλος ο νους, διπλός ο κόπος","{'Επτάνησος', 'Ήπειρος', 'Θεσπρωτία>Παραμυθιά', 'Άνδρος'}",4,"{'Επτάνησος', 'Ήπειρος', 'Θεσπρωτία', 'Άνδρος'}",4,"[(38.8351105, 20.7094392), (37.9574332, 23.7108518), (39.54401235, 20.308355368968883), (37.8408347, 24.86238235981581)]"
Άγιασε ο μαχαιροβγάλτης και πουλεί σκουρολεπίδες,"{'Ήπειρος', 'Κεφαλληνία'}",2,"{'Ήπειρος', 'Κεφαλληνία'}",2,"[(37.9574332, 23.7108518), (38.2379344, 20.560883)]"
Άγνεστα κι' ανύφαντα στην τέμπλα κρεμασμένα,"{'Αρκαδία>Γορτυνία', 'Θεσσαλία'}",2,"{'Αρκαδία', 'Θεσσαλία'}",2,"[(38.0368583, 23.6689264), (39.5594194, 21.6848495)]"
Άδειασέ μας τη γωνιά,"{'Κεφαλληνία', 'Κρήτη>Σητεία'}",2,"{'Κρήτη', 'Κεφαλληνία'}",2,"[(35.3084952, 24.46334231842296), (38.2379344, 20.560883)]"
Άδειασέ μου τη γωνιά,"{'Αδριανούπολη', 'Αρκαδία>Γορτυνία', 'Άνδρος'}",3,"{'Αδριανούπολη', 'Αρκαδία', 'Άνδρος'}",3,"[(41.6759327, 26.5587225), (38.0368583, 23.6689264), (37.8408347, 24.86238235981581)]"
Άδηλα και κρύφια,"{'Αμοργός', 'Κρήτη', 'Ήπειρος', 'Λακωνία'}",4,"{'Αμοργός', 'Κρήτη', 'Ήπειρος', 'Λακωνία'}",4,"[(36.85252415, 25.89848696771565), (35.3084952, 24.46334231842296), (37.9574332, 23.7108518), (36.76027945, 22.79046431389755)]"
Άδηλα κι κρύφια,"{'Επτάνησος', 'Ιωάννινα>Νεγάδες'}",2,"{'Επτάνησος', 'Ιωάννινα'}",2,"[(38.8351105, 20.7094392), (39.6639818, 20.8522784)]"
Άδουλος δουλειά δεν έχει το βρακί του λεί και δενει,"{'Κεφαλληνία', 'Αρκαδία>Δημητσάνα', 'Λακωνία>Σπάρτη'}",3,"{'Αρκαδία', 'Κεφαλληνία', 'Λακωνία'}",3,"[(38.0368583, 23.6689264), (38.2379344, 20.560883), (36.76027945, 22.79046431389755)]"
Άζωστος τρέχει ο γείτονας κι ο συγγενής ζωσμένος,"{'Κρήτη>Ιεράπετρα>Βαϊνιά', 'Θράκη>Σουφλί'}",2,"{'Θράκη', 'Κρήτη'}",2,"[(40.8464241, 25.8759377), (35.3084952, 24.46334231842296)]"
Άθρωπος αγράμματος ξύλο απελέκητο,"{'Θράκη>Σαράντα Εκκλησίες', 'Κρήτη>Ρέθυμνο>Μαλλάκι', 'Λέρος'}",3,"{'Θράκη', 'Κρήτη', 'Λέρος'}",3,"[(40.8464241, 25.8759377), (35.3084952, 24.46334231842296), (37.1494507, 26.84636061342387)]"
Άθρωπος αθρώπου μοιάζει,"{'Σκύρος', 'Ρόδος'}",2,"{'Σκύρος', 'Ρόδος'}",2,"[(38.87304355, 24.524477385184014), (36.17262995, 27.919418145633188)]"
"Άκληρος, άθεος","{'Μεσσηνία>Πύλος>Κορώνη', 'Αχαΐα>Πάτρα', 'Αργολίδα>Σχοινοχώρι'}",3,"{'Μεσσηνία', 'Αχαΐα', 'Αργολίδα'}",3,"[(36.986899050000005, 21.82712495001949), (38.0692748, 21.87273042232539), (37.56626615, 22.85593894780862)]"
Άκουροι και κουρεμμένοι ήταν όλοι μαζωμένοι,"{'Θεσσαλία', 'Λακωνία'}",2,"{'Λακωνία', 'Θεσσαλία'}",2,"[(36.76027945, 22.79046431389755), (39.5594194, 21.6848495)]"
Άκρες λείπες,"{'Κορινθία>Καρυά', 'Αρκαδία>Γορτυνία>Λάστα', 'Αρκαδία>Δημητσάνα'}",3,"{'Αρκαδία', 'Κορινθία'}",2,"[(38.0368583, 23.6689264), (37.96299085, 22.733342367236247)]"
Άκρες μέσες,"{'Θράκη>Σαράντα Εκκλησίες', 'Λακωνία', 'Σύμη', 'Χίος', 'Ανατολική Θράκη'}",5,"{'Λακωνία', 'Σύμη', 'Θράκη', 'Χίος', 'Ανατολική Θράκη'}",5,"[(36.76027945, 22.79046431389755), (36.6132851, 27.8380312), (40.8464241, 25.8759377), (38.37581315, 26.064655246170453), (41.6759327, 26.5587225)]"
