,text,place,uri,collector,area
1001,"Αγοραστικό, λιμαχτικό",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/185972,"Αναγνωστόπουλος, Γ.",Ήπειρος
1002,"Ακαμάτης, φόρτωμα!",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/185973,"Αναγνωστόπουλος, Γ.",Επτάνησος
1003,"Ακαμασιά, σπιτιού ξεθεμελίωμα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/185971,"Αναγνωστόπουλος, Γ.",Λέσβος
1780,Άβουλος καμακευτής γαρίδα καμακεύει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214235,"Ανδριώτης, Νικόλαος Π.",Ιωάννινα
1786,"Αγουστοκοδέσποινα, καλανταρογυρεύτρια",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194877,"Ανδριώτης, Νικόλαος Π.",Νάξος
1790,"Αουστοτάιζε, γεναροκαβαλίκα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194876,"Ανδριώτης, Νικόλαος Π.",Σκύρος
1791,Αποθαμμένου το πουγκί αναποδα γυρίζει (sic),Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247475,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1793,"Αυγουσταγκάλιαζε, μοναχοθέριζε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194875,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1806,Δεν αγροικάει του βρακί τ' να μάση,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194835,"Ανδριώτης, Νικόλαος Π.",Αιτωλία
1809,Δεν έχει δεύτερο τσαρούχι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194836,"Ανδριώτης, Νικόλαος Π.",Θεσπρωτία
1811,Δεν έχει λεφτά ούτε για τσιγάρο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194837,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1813,Δεν έχει όσο σηκώνει μιά μυία στο φτερό τζη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194838,"Ανδριώτης, Νικόλαος Π.",Νάξος
1816,Δεν ηύρε ούτε ο παπάς να θάψη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247476,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1817,Δεν ξέρει από που κατουρεί η όρνιθα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237135,"Ανδριώτης, Νικόλαος Π.",Μικρά Ασία
1818,Δεν ξέρει να πη νερό κι αλάτσι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237136,"Ανδριώτης, Νικόλαος Π.",Κεφαλληνία
1819,Δεν παίρνεις από το χέρι του ένα πράσινο φύλλο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247477,"Ανδριώτης, Νικόλαος Π.",Θεσπρωτία
1835,Ήσκιος δεν πέρασε!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194833,"Ανδριώτης, Νικόλαος Π.",Αχαΐα
1842,Κοιμήθηκα όσο κοιμάται ο κρεμασμένος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214234,"Ανδριώτης, Νικόλαος Π.",Ήπειρος
1843,Κούκκος δε λαλεί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237134,"Ανδριώτης, Νικόλαος Π.",Εύβοια
1847,Με το κόσκινο τραβά το νερό,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237129,"Ανδριώτης, Νικόλαος Π.",Λακωνία
1849,Μήτε το άσπρο ξέρει μήτε το μαύρο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237137,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1853,Μοίρα βρούβα και ριζικό κρεμμύδι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237132,"Ανδριώτης, Νικόλαος Π.",Ανατολική Θράκη
1864,"Ο ποίσιος, ο δείξιος, ο τελέσιος",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247481,"Ανδριώτης, Νικόλαος Π.",Λέσβος
1865,Ο τσουκαλάς όπου θέλει κολλάει τ' αφτί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194842,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1871,Όσ' άστρα έχ' ο ουρανός κι η Πόλη παραθύρια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194834,"Ανδριώτης, Νικόλαος Π.",Λακωνία
1874,Όσο έχει η παλάμη μου μαλλί…,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194841,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1875,"Όσο ο σφάλαγγας παννί, άλλη τόση προκοπή",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247479,"Ανδριώτης, Νικόλαος Π.",Ανατολική Θράκη
1876,"Όσο στέκεται του αλόγου ή ουρά, στέκομαι κι' εγώ",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194840,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1881,Ούτε για νάμα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237131,"Ανδριώτης, Νικόλαος Π.",Θράκη
1885,Πετάει τα λεφτά σαν τον κόκορα τ' αβγά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194839,"Ανδριώτης, Νικόλαος Π.",Αρκαδία
1886,Πήγε κι ήρθε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214237,"Ανδριώτης, Νικόλαος Π.",Μικρά Ασία
1887,"Πότ' εφτώχυνες, φτωχέ μου; Όταν μικρανάθρεφα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237138,"Ανδριώτης, Νικόλαος Π.",Επτάνησος
1891,"Σαρακοστοθώρε με, να σε λαμπροθωρώ",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247490,"Ανδριώτης, Νικόλαος Π.",Νάξος
1897,Τα 'καμες άχλαα κι' ατάραχα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194843,"Ανδριώτης, Νικόλαος Π.",Κρήτη
1902,Τα λόγια μ'σό γουdούκ' σε γιμίζουν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214233,"Ανδριώτης, Νικόλαος Π.",Πόντος
1909,Το μωρό και το χωριάτη ξένοι πόνοι τον γηράζουν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214236,"Ανδριώτης, Νικόλαος Π.",Ήπειρος
1914,"Του φτωχού τ' αποδόσίδι, δυο ελιές κι ένα κρεμμυδι",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194832,"Ανδριώτης, Νικόλαος Π.",Κεφαλληνία
2096,Ζαχαρίας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/209340,"Αντωνόπουλος, Γ.",Αρκαδία
2759,Τούτος ο κόσμος δεν είναι καρπούζια στο χωράφι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239163,"Αραβαντινός, Σπυρίδων",Αχαΐα
2877,"Μεροκάματο, μεροφάωτο",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/282129,"Βάλληνδας, Α.",Κεφαλληνία
2946,Άλλος χάσκει περιμένει κι' άλλος χάφτει και χορταίνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/187006,"Βαγιακάκος, Δικαίος Β.",Αχαΐα
2959,Είναι κι' αλλού πορτοκαλλιές και κάνουν πορτοκάλλια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/189035,"Βαγιακάκος, Δικαίος Β.",Θεσπρωτία
2982,Πάσι τα χιλιομπέρμπερα κ' η κοκοδού μεινέσκει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/228668,"Βαγιακάκος, Δικαίος Β.",Κάρπαθος
3725,"Ο Μάρτης, αν μαρτεύκεται καλοκαιρίας μυρίζει κι όντα παραχολισκεται τον Κούντουρον διαβαίνει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/278292,"Βαλαβάνης, Ι.",Πόντος
4756,Στις πέντε του Γεννάρη φεύγειν οι καλλικαντζάροι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/190918,"Βασματζής, Θ.",Λακωνία
4768,"Άγια Βαρβάρα βαρβαρώνει, άη Σάββας σαβανώνει κι άη Νικόλας σκάβει και χώνει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/190917,"Βαφείδης, Θεολόγης Γ.",Θεσπρωτία
4785,"Αγιάσαν τα νερά, παν τα παγανά",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/190913,"Βαφείδης, Θεολόγης Γ.",Μικρά Ασία
4975,Μπρός πίσω τα Νικολοβάρβαρα πέφτουν χιόνια βάρβαρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/190914,"Βαφείδης, Θεολόγης Γ.",Θράκη
5151,Στου άη Αντρέα αν δε φτάσω τα Νικολοβάρβαρα σίγουρα θ΄αράξω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/190916,"Βαφείδης, Θεολόγης Γ.",Εύβοια
5165,Τα Νικολοβάρβαρα στο λιμνιώνα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/190915,"Βαφείδης, Θεολόγης Γ.",Θράκη
5230,"Το καβούκι το τινάζετε, το καπέλο όχι",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/235794,"Βέης, Νίκος",Ανατολική Θράκη
5558,"Όταν βλέπης κι αστράφτει, πάντεχε θα μπουμπουνίση",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/191091,"Βερέτα, Ι.",Αρκαδία
5799,Πάψετε βιολιά! Παίξετε βιολιά!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/244595,"Βίος, Στυλιανός Σχολάρχου",Σκύρος
7555,Χίλιους μήνους χίλιες λίρες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237112,"Γαλάνης, Ν.",Κρήτη
8762,Άφσε τα Μωραΐτικα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/281919,"Γούναρης, Κ.",Πόντος
8763,"Δεν είμαι απ' την Τήνο για να δίνω, αλλ' είμαι από την Πάρο για να πάρω",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265403,"Γούναρης, Κ.",Θεσπρωτία
8764,Είδες Αργίτη με μυαλό και Μανιάτη με καινούρια ρούχα;,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/142022,"Γούναρης, Κ.",Αρκαδία
8765,Κεφαλλωνίτης είσαι; Άδικο έχεις,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/205678,"Γούναρης, Κ.",Εύβοια
8766,"Ντα Μέγαρα, ντα πόλι, ντα Χάσια, ντα Βενετία",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/279952,"Γούναρης, Κ.",Κρήτη
8767,"Ο θεός να σε φυλάη από Αράπη της Τριπολιτσάς, Τούρκο της Βαρδούνας, του Ντάρα Αρβανίτη",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/142021,"Γούναρης, Κ.",Θεσπρωτία
8768,Σάββατον κοντουρα μέρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265402,"Γούναρης, Κ.",Νάξος
9324,"Με τον ήλιο τα βγάζω, με το ήλιο τα βάζω, δρόμο δρόμο τα πηγαίνω, σε ξερό λάκκο τα ποτίζω, σε ξερή αγκορνιτσιά τα σταλίζω, τί έχουν τα έρμα και ψοφάνε;",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197398,"Γρίσπος, Παν.",Ανατολική Θράκη
9325,Έστεκεν επί πόδας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248381,"Γριτσόπουλος, Τάσος Α.",Ήπειρος
9326,Έτι γαρ την κνίσσαν των αυτού καλών εν ταις ρισί φέρω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214929,"Γριτσόπουλος, Τάσος Α.",Ρόδος
9327,Εφάγαμεν εκεί ψωμί και άλας χρόνους σχεδόν πέντε και δέκα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/185963,"Γριτσόπουλος, Τάσος Α.",Αμοργός
9328,Σίγα μόλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/227755,"Γριτσόπουλος, Τάσος Α.",Ανατολική Θράκη
9329,Ως οι κύνες περί το οστούν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248382,"Γριτσόπουλος, Τάσος Α.",Αμοργός
9330,Ωσάν φυτρώνουσιν οι αμανίται εις τα άτιμα αφοδεύματα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214928,"Γριτσόπουλος, Τάσος Α.",Αχαΐα
9372,Κρίμα στα Σαββατιάτικα!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/231871,"Δαμβέργης, Ι.",Αχαΐα
9373,"Όταν δεν έχης γέρο, δώσε και πάρε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/191092,"Δαμβέργης, Ι.",Αρκαδία
9374,"Κουκκιά, του είπεν ο γάτος, συ έφαγες και κουκκιά, συ μαρτυρείς, αδελφέ μου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/232600,"Δαπόντε, Καισάριος",Κρήτη
9496,Πι τσουμάται με παιdία με σπίλλου γέρρεται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214877,"Δεινάκης, Στυλιανός",Κάρπαθος
9497,"Σαν εβρέχη τσαι κάννη βορέα, τσόλα στο σπίdi σου βλίζου τα στεά",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197600,"Δεινάκης, Στυλιανός",Σκύρος
9499,"Να πάρη χίλια πράγματα και κακιαδά γυναίκα, τα χίλια πάνε κι' έρχονται κ' η κακιαδά πομένει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237113,"Δελακοβίας, Ν.",Ήπειρος
9919,Άλλο να το ιδής και άλλο να τα ακούσης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194973,"Δημητρακόπουλος, Νικόλαος Π.",Κρήτη
9920,Άρμεγε γάλα και μη βγάζης αίμα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194993,"Δημητρακόπουλος, Νικόλαος Π.",Λακωνία
9921,Αλίμονο στο σπίτι που λαλήσει θηλυκιά κότα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237248,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9922,"Αλιά 'πο τον δαρμένον, όσο νάρθουν οι κριτάδες",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194969,"Δημητρακόπουλος, Νικόλαος Π.",Εύβοια
9923,Αλογάριαστος πραματευτής καθάριος διακονιάρης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247529,"Δημητρακόπουλος, Νικόλαος Π.",Εύβοια
9924,"Αν δεν χρωστής, έμπα εγγυητής",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194958,"Δημητρακόπουλος, Νικόλαος Π.",Μακεδονία
9925,Αν εις όλα είναι νόμος εις τα μάτια όχι όμως,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237261,"Δημητρακόπουλος, Νικόλαος Π.",Θεσπρωτία
9926,Ανθρώπου παρακάλεση ομοιάζει σαν αγγαρεία,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247525,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9927,"Ανύπαντρος κι' αν παντρευτή, δεν πρέπει να χορεύη μόν' με σακκί στον ώμο του, αλεύρι να γυρεύη",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247532,"Δημητρακόπουλος, Νικόλαος Π.",Ανατολική Θράκη
9928,Από πίσω του καθένας και τον βασιλιά τον βρίζει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214278,"Δημητρακόπουλος, Νικόλαος Π.",Επτάνησος
9929,Ας είν' μικρό τ' αλώνι σου και ας είν' μοναχικό σου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237239,"Δημητρακόπουλος, Νικόλαος Π.",Αμοργός
9930,Βάνει κι' η κοσκινού τον άντρα της με τους πραματευτάδες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247528,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9931,Βασιλικός ορισμός και τα σκυλιά δεμένα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194991,"Δημητρακόπουλος, Νικόλαος Π.",Θεσπρωτία
9932,Βλέπε μόστρα κι αγόραζε πανί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237235,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9933,"Γάμος όψιμος, παιδιά τσ' αρφάνιας",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237247,"Δημητρακόπουλος, Νικόλαος Π.",Λέσβος
9934,"Δανείζου και ξόδευε, τη διορία μη λησμονείς",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194951,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9935,"Δανειζόμουν κι έτρωγα θάργεια Θιός μου τάδινε. Σαν μου τα γυρεύανε, εκαθόμουν κι' έκλαιγα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194950,"Δημητρακόπουλος, Νικόλαος Π.",Ήπειρος
9936,"Δέσ' τον γάϊδαρο όπου θέλει ο νοικοκύρης, κι' ας τον φάη ο λύκος",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194945,"Δημητρακόπουλος, Νικόλαος Π.",Ήπειρος
9937,"Δέσε το γομάρι, όπου θέλει ο γομαριάρης",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194946,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9938,"Δίκιον κι άδικον τον όρκον, άπεχέ τον",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214262,"Δημητρακόπουλος, Νικόλαος Π.",Αμοργός
9939,"Δός μου το ψωμάκι σου, να σού το δίδω από λίγο",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194939,"Δημητρακόπουλος, Νικόλαος Π.",Κρήτη
9940,"Δούλευε, εργάτη μου, κατά την πληρωμή σου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194943,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9941,"Δούλευε, τσαπάκι μου, κατά την πληρωμήν σου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194944,"Δημητρακόπουλος, Νικόλαος Π.",Αχαΐα
9942,"Δούλευέ με κακομοίρη, να μη γίνως σαν και σένα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194942,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9943,"Δυό μαρτυράνε, τον τρίτο τον κρεμάνε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237223,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9944,Δυό προβιές από 'να πρόβατο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194968,"Δημητρακόπουλος, Νικόλαος Π.",Κρήτη
9945,"Έξη μήνες βερεσέ, κι ένα χρόνο μάγκανα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194978,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9946,"Εγγυητής, καλός πληρωτής",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194959,"Δημητρακόπουλος, Νικόλαος Π.",Θεσπρωτία
9947,"Εγώ στραβώνω και πουλώ, και συ βλέπε και παίρνε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247520,"Δημητρακόπουλος, Νικόλαος Π.",Ρόδος
9948,Εγώ το λέ' του σκύλου μου κι' ο σκύλος της νουράς του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237238,"Δημητρακόπουλος, Νικόλαος Π.",Μικρά Ασία
9949,"Εγώ ώριζα το σκύλο μου, κι ο σκύλος την ουρά του",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214270,"Δημητρακόπουλος, Νικόλαος Π.",Ανατολική Θράκη
9950,"Εδούλεψα σε κι έφαγα, ευχαριστώ τα χέρια μου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194941,"Δημητρακόπουλος, Νικόλαος Π.",Ιωάννινα
9951,"Εύρηνα της γης, χάρισμα της ψυχής",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194938,"Δημητρακόπουλος, Νικόλαος Π.",Επτάνησος
9952,Η ανάγκη νόμο δεν έχει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194994,"Δημητρακόπουλος, Νικόλαος Π.",Θεσπρωτία
9953,Η βερεσέ κλειδαριά τρώει τήν πόρτα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194980,"Δημητρακόπουλος, Νικόλαος Π.",Ήπειρος
9954,Η κακή νοικοκυρά κάνει καλή γειτόνισσα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237240,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9955,"Η καμήλα για 'να άσπρο, και δεν βγαίνει αγοραστής, η καμήλα για χίλια άσπρα, και παντού αγοραστής",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194981,"Δημητρακόπουλος, Νικόλαος Π.",Ανατολική Θράκη
9956,"Η νύφη με χωρίς προικιά, μιλά και συλλογιέται",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247534,"Δημητρακόπουλος, Νικόλαος Π.",Ανατολική Θράκη
9957,Η παντρειά είναι σιδερένιο πουκάμισο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247533,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9958,Η περίσταση γεννάει τον κλέφτη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214274,"Δημητρακόπουλος, Νικόλαος Π.",Κρήτη
9959,Η πολλή ακρίβεια φέρνει και τη φτήνεια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194982,"Δημητρακόπουλος, Νικόλαος Π.",Επτάνησος
9960,"Η πρώτη μου, γυναίκα· η δεύτερη κυρά μου· η τρίτη η στερνότερη, ραβδί του κεφαλιού μου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194961,"Δημητρακόπουλος, Νικόλαος Π.",Εύβοια
9961,"Κάθε δίκιο δεν βαρεί, κι αν βαρέση δεν πονεί",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194966,"Δημητρακόπουλος, Νικόλαος Π.",Εύβοια
9962,"Κάθισε πράμα σπίτι μου, και λόγια μη μου φέρνεις",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247527,"Δημητρακόπουλος, Νικόλαος Π.",Κρήτη
9963,Κάλλιο κείνος που κρατεί παρά κείνος που γυρεύει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237227,"Δημητρακόπουλος, Νικόλαος Π.",Αμοργός
9964,Κάλλιο σιασμός στον αύλακα και μη μαλλιά στ' αλώνι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247524,"Δημητρακόπουλος, Νικόλαος Π.",Θεσπρωτία
9965,Κάλλιο την καλορρίζικη παρά τη βαροπροίκα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214271,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9966,"Κάλλιο το μάτι σου, παρά τ' όνομά σου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214263,"Δημητρακόπουλος, Νικόλαος Π.",Λακωνία
9967,"Κάλλιο χέρια που κρατούν, παρά μάτια που τηρούν",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237228,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9968,"Κάμης λάβης, καρδιά μη σε πονέση",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237258,"Δημητρακόπουλος, Νικόλαος Π.",Κρήτη
9969,"Κάτσε ήλιο, κάτσ' εργάτη",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194947,"Δημητρακόπουλος, Νικόλαος Π.",Μικρά Ασία
9970,"Καταραμένο μου παιδί, καλέ μου κληρονόμε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247540,"Δημητρακόπουλος, Νικόλαος Π.",Κρήτη
9971,"Κλέφτης άπιαστος, καθάριος νοικοκύρης",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214275,"Δημητρακόπουλος, Νικόλαος Π.",Εύβοια
9972,"Μάρτυρας έβγ' αν ευκαιρής, κι αν έχης εγγυήσου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194934,"Δημητρακόπουλος, Νικόλαος Π.",Λακωνία
9973,"Μάτια λαίμαργα, ψυχή χαμένη",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/237260,"Δημητρακόπουλος, Νικόλαος Π.",Ανατολική Θράκη
9974,Μαζεύτηκαν τα όρνια κι' έκαμαν τον κούκο πρώτο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247542,"Δημητρακόπουλος, Νικόλαος Π.",Αρκαδία
9975,Μην είμαι πραματευτής να σταθώ στο λόγο μου;,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247519,"Δημητρακόπουλος, Νικόλαος Π.",Επτάνησος
9976,"Μοίρα να χουν τα προικιά, κι' ας είν' και κρεμμυδενια",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247536,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9977,"Μονό το κάνεις, διπλό το λαβαίνεις",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194967,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9978,Μυρίσου κι' έπαρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/247522,"Δημητρακόπουλος, Νικόλαος Π.",Μικρά Ασία
9979,"Να καβούρους, δός μ' αλεύρι",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194957,"Δημητρακόπουλος, Νικόλαος Π.",Ρόδος
9980,Να κουκιά και δός μου φάβα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194956,"Δημητρακόπουλος, Νικόλαος Π.",Κεφαλληνία
9981,Ο ακριβός κι ο ψεύτης γρήγορα κάνουν παζάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194979,"Δημητρακόπουλος, Νικόλαος Π.",Ήπειρος
