,text,place,uri,collector,area,lat,lon
105697,Γέλια σαν κομπολόγια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168435,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
8413,Καρδίαν καθαράν θέλ' ο Θεός,Ήπειρος,http://hdl.handle.net/20.500.11853/167032,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
7684,Ου Θεός κι ου γείτονας,Ήπειρος,http://hdl.handle.net/20.500.11853/168991,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
18546,Θέλει να κρυφθή πίσω από το δάχτυλό του,Ήπειρος,http://hdl.handle.net/20.500.11853/273352,"Ζηκίδης, Γεώργιος Δ.",Ήπειρος,37.9982534,23.7378671
94001,Όλοι κλαίν' τα χάλια τ'ς κι ο μυλωνάς τη δέσι,Ήπειρος,http://hdl.handle.net/20.500.11853/204755,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671
106056,Σε ξένο φαγεί να μη βάνης άλας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204263,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
94075,Μου το βγαλε απ' τις μύτες,Ήπειρος,http://hdl.handle.net/20.500.11853/284327,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671
44818,Γίγκι για κουρκούτ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/271938,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
8319,Ειναι στα ολίστια,Ήπειρος,http://hdl.handle.net/20.500.11853/289049,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
1360,Όξ' απού θάνατου!,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/186423,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
4603,Τον ζουρλόν 'ς του χωριάτη ξένοι πόνοι τον γεράζουν,Ήπειρος,http://hdl.handle.net/20.500.11853/204823,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
74643,"Η μοίρα που σε μοίρανε, θα σε μυρολογούσε",Ήπειρος,http://hdl.handle.net/20.500.11853/282913,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
81669,Πέντε γρόσια ΄ς το πουγγί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/168360,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671
105986,Όλα διορθώνονται μονάχα του σπανού τα γένια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168490,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
75080,Τον καταφέρνω,Ήπειρος,http://hdl.handle.net/20.500.11853/212979,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
4435,Η κόττα γαργανίζοντας τα μάτια της θα βγάλη,Ήπειρος,http://hdl.handle.net/20.500.11853/271834,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
45119,Μ'κρος πιρδάρ - μιγάλους γουμάρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/281862,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
94019,Σαν να τον λάβωσ' ο λύκος,Ήπειρος,http://hdl.handle.net/20.500.11853/204751,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671
8549,"Όποιος μ' θέλει το καλό, με κάν' και κλαίω, κι όποιος μ' θέλ' το κακό με κάν' και γελώ",Ήπειρος,http://hdl.handle.net/20.500.11853/203521,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
74963,Σαν εκκλησιά 'ς την ερημιά που δεν την λειτουργούνε έστε είν' αυτός οπ' αγαπά και δεν τον αγαπούνε,Ήπειρος,http://hdl.handle.net/20.500.11853/152985,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
105833,Ή χήνα ή σκατίνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168391,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
74756,"Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί",Ήπειρος,http://hdl.handle.net/20.500.11853/290369,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
104678,Ισιοζύγιαζε κι ακριβοπούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178257,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
1369,"Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν","Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/228131,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
8484,Ξένο βιο καλολογάριασ' το,Ήπειρος,http://hdl.handle.net/20.500.11853/203472,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
111997,"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους",Ήπειρος,http://hdl.handle.net/20.500.11853/256064,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671
94031,Της Κυριακής το όνειρο ως το γιόμα στρέει,Ήπειρος,http://hdl.handle.net/20.500.11853/204756,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671
